"Name","Rarity","Level","Price"
Alchemical Bomb,Common,"0","0"
Fist,Common,"0","0"
Holly and Mistletoe,Common,"0","0"
Puzzle Box (Hollow),Common,"0","0 (see text)"
Shield Bash,Common,"0","0"
Thresholds of Truth,Unique,"0","0"
Unarmored,Common,"0","0"
Club,Common,"0","0"
Exquisite Sword Cane Sheath,Common,"0","0"
Sling,Common,"0","0"
Staff,Common,"0","0"
Alcohol,Common,"0","1 cp (or more)"
Black Powder (Dose or Round),Uncommon,"0","1 cp"
Candle,Common,"0","1 cp"
Chalk,Common,"0","1 cp ((10 pieces))"
Clay,Common,"0","1 cp"
Dart,Common,"0","1 cp"
Feed (Standard),Common,"0","1 cp (1 week)"
Fish,Common,"0","1 cp"
Mouse,Common,"0","1 cp"
Mug,Common,"0","1 cp"
Oil,Common,"0","1 cp"
Pinwheel,Common,"0","1 cp"
Piton,Common,"0","1 cp"
Sack,Common,"0","1 cp"
Shuriken,Uncommon,"0","1 cp"
Sling Bullets,Common,"0","1 cp"
Ten-Foot Pole,Common,"0","1 cp"
Torch,Common,"0","1 cp"
Treats (Standard),Common,"0","1 cp"
Bedroll,Common,"0","2 cp"
Soap,Common,"0","2 cp"
Ball,Common,"0","3 cp"
Cat,Common,"0","3 cp"
Ladder (10 ft.),Common,"0","3 cp"
Kite,Common,"0","4 cp"
Bandalore,Common,"0","5 cp"
Blowgun Darts,Common,"0","5 cp"
Flint and Steel,Common,"0","5 cp"
Mask (Ordinary),Common,"0","5 cp"
Waterskin,Common,"0","5 cp"
Signal Whistle,Common,"0","8 cp"
Air Bladder,Common,"0","1 sp"
Animal Bed,Common,"0","1 sp"
Arrows,Common,"0","1 sp"
Backpack,Common,"0","1 sp"
Backpack Ballista Bolts,Uncommon,"0","1 sp"
Backpack Catapult Stones,Uncommon,"0","1 sp"
Basic Crafter's Book,Common,"0","1 sp"
Bird,Common,"0","1 sp"
Blocks,Common,"0","1 sp"
Blowgun,Common,"0","1 sp"
Bolts,Common,"0","1 sp"
Butterfly or Moth,Common,"0","1 sp"
Clothing (Explorer's),Common,"0","1 sp"
Clothing (Ordinary),Common,"0","1 sp"
Collar,Common,"0","1 sp"
Disguise Kit (Replacement Cosmetics),Common,"0","1 sp"
Dogslicer,Uncommon,"0","1 sp"
Doll,Common,"0","1 sp"
Earplugs,Common,"0","1 sp"
Explorer's Clothing,Common,"0","1 sp"
Feed (Unique),Common,"0","1 sp (1 week)"
Ferret,Common,"0","1 sp"
Firearm Ammunition (10 rounds),Uncommon,"0","1 sp"
Firearm Ammunition (5 rounds),Uncommon,"0","1 sp"
Firearm Cleaning Kit,Uncommon,"0","1 sp"
Gerbil or Hamster,Common,"0","1 sp"
Grappling Hook,Common,"0","1 sp"
Hammer,Common,"0","1 sp"
Javelin,Common,"0","1 sp"
Juggling Club,Uncommon,"0","1 sp"
Leash,Common,"0","1 sp"
Lizard,Common,"0","1 sp"
Monkey's Fist,Common,"0","1 sp"
Powder,Common,"0","1 sp"
Praying Mantis,Common,"0","1 sp"
Rat,Common,"0","1 sp"
Religious Symbol (Wooden),Common,"0","1 sp"
Sap,Common,"0","1 sp"
Scourge,Common,"0","1 sp"
Shield Sconce,Uncommon,"0","1 sp"
Silencer,Common,"0","1 sp"
Spear,Common,"0","1 sp"
Sun Shot,Uncommon,"0","1 sp"
Tonfa,Uncommon,"0","1 sp"
Treats (Unique),Common,"0","1 sp"
Whip,Common,"0","1 sp"
Wooden Taws,Common,"0","1 sp"
Writing Set (Extra Ink and Paper),Common,"0","1 sp"
Bayonet,Common,"0","2 sp"
Bo Staff,Common,"0","2 sp"
Dagger,Common,"0","2 sp"
Dog,Common,"0","2 sp"
Frog,Common,"0","2 sp"
Gauntlet,Common,"0","2 sp"
Grappling Arrow,Uncommon,"0","2 sp"
Grappling Bolt,Uncommon,"0","2 sp"
Lock (Poor),Common,"0","2 sp"
Marbles,Common,"0","2 sp"
Merchant's Scale,Common,"0","2 sp"
Nunchaku,Uncommon,"0","2 sp"
Padded Armor,Common,"0","2 sp"
Poi,Uncommon,"0","2 sp"
Practice Targets,Common,"0","2 sp (price for 10)"
Puzzle Box (Simple),Common,"0","2 sp"
Reinforced Stock,Common,"0","2 sp"
Saddlebags,Common,"0","2 sp"
Sickle,Common,"0","2 sp"
Spider,Common,"0","2 sp"
Tekko-kagi,Uncommon,"0","2 sp"
